"Age","Year","log_mx"
92,1968,-1.40044799440476
93,1968,-1.32463515253112
94,1968,-1.24290658832035
95,1968,-1.16791849702505
96,1968,-1.09482799009316
97,1968,-1.02418958190628
98,1968,-0.956113878638599
99,1968,-0.890686235328205
100,1968,-0.827987196733463
0,1969,-3.86231634012757
1,1969,-6.51634457026244
2,1969,-6.97704731006426
3,1969,-7.1795331504635
4,1969,-7.34285263513717
5,1969,-7.44980918482521
6,1969,-7.5536719108298
7,1969,-7.66058779352395
8,1969,-7.77037825808269
9,1969,-7.82123427862185
10,1969,-7.88802489088918
11,1969,-7.89076677930969
12,1969,-7.83676818936651
13,1969,-7.73596679879246
14,1969,-7.58608201534176
15,1969,-7.41751577633559
16,1969,-7.1603765494038
17,1969,-6.98112151810763
18,1969,-6.84579826853132
19,1969,-6.77048050415316
20,1969,-6.74347715056095
21,1969,-6.73007134780155
22,1969,-6.77637349034807
23,1969,-6.81519323180766
24,1969,-6.83074337613507
25,1969,-6.83443780515171
26,1969,-6.83715827389546
27,1969,-6.83043018674117
28,1969,-6.8205340265883
29,1969,-6.79252886364726
30,1969,-6.75793168736936
31,1969,-6.74028489427615
32,1969,-6.68413786230241
33,1969,-6.64394740528246
34,1969,-6.56398888443131
35,1969,-6.50994621321028
36,1969,-6.44530401307719
37,1969,-6.35900451358008
38,1969,-6.27686544057009
39,1969,-6.18816673580878
40,1969,-6.12040668281573
41,1969,-6.03228455336136
42,1969,-5.90200618346913
43,1969,-5.81945015820887
44,1969,-5.74165633623805
45,1969,-5.64680013257461
46,1969,-5.54102328022626
47,1969,-5.43920526192102
48,1969,-5.34353607940636
49,1969,-5.24021198137508
50,1969,-5.14694258361822
51,1969,-5.07642832793171
52,1969,-4.95355399747675
53,1969,-4.87572238239091
54,1969,-4.76919498437556
55,1969,-4.70959817673856
56,1969,-4.59892338449342
57,1969,-4.5074362997765
58,1969,-4.40759052859621
59,1969,-4.32278939494659
60,1969,-4.23331256116044
61,1969,-4.17649510853171
62,1969,-4.04409003412602
63,1969,-3.96582251791413
64,1969,-3.88430823436798
65,1969,-3.77599456942878
66,1969,-3.74660221151742
67,1969,-3.64378983550718
68,1969,-3.54998529477635
69,1969,-3.45967994550941
70,1969,-3.37525023416646
71,1969,-3.33343226997567
72,1969,-3.18762113014634
73,1969,-3.10075465962407
74,1969,-3.01248341516721
75,1969,-2.91793871956117
76,1969,-2.82303033149264
77,1969,-2.74422770993031
78,1969,-2.62965175062731
79,1969,-2.54179889457679
80,1969,-2.47575483641281
81,1969,-2.41602085138788
82,1969,-2.28892059959741
83,1969,-2.1826917866866
84,1969,-2.08117606317669
85,1969,-2.01010622980423
86,1969,-1.89739978695596
87,1969,-1.81362964633093
88,1969,-1.7378995780021
89,1969,-1.65565115824684
90,1969,-1.56992485262271
91,1969,-1.51732487569843
92,1969,-1.39973719552942
93,1969,-1.32398662495345
94,1969,-1.24225558723558
95,1969,-1.16729227972402
96,1969,-1.09423697765441
97,1969,-1.0236342891929
98,1969,-0.955594609868128
99,1969,-0.890202999293165
100,1969,-0.827539737644821
0,1970,-3.89899617099669
1,1970,-6.55121063277961
2,1970,-7.00925661896879
3,1970,-7.21106042781786
4,1970,-7.37370885261141
5,1970,-7.48065086576037
6,1970,-7.5850323754499
7,1970,-7.69144390919431
8,1970,-7.80010012263965
9,1970,-7.84823826056911
10,1970,-7.9130055986713
11,1970,-7.91591880216288
12,1970,-7.85928035582153
13,1970,-7.75728851413235
14,1970,-7.60296224665145
15,1970,-7.43153465339345
16,1970,-7.17144868476689
17,1970,-6.99253341065581
18,1970,-6.85525535987062
19,1970,-6.77963807648018
20,1970,-6.7545831182971
21,1970,-6.74257316161594
22,1970,-6.78905419140069
23,1970,-6.82764115063609
24,1970,-6.84309545825061
25,1970,-6.84663684396593
26,1970,-6.84874925034091
27,1970,-6.84237602173195
28,1970,-6.83205565365652
29,1970,-6.80367182529537
30,1970,-6.76942124556187
31,1970,-6.75088855894066
32,1970,-6.69468646914781
33,1970,-6.65458585151137
34,1970,-6.57598670271526
35,1970,-6.52087517677888
36,1970,-6.45671436856228
37,1970,-6.37104854225354
38,1970,-6.28943840574676
39,1970,-6.20114461538483
40,1970,-6.13251661964236
41,1970,-6.04453247196575
42,1970,-5.91623649944058
43,1970,-5.83336933680679
44,1970,-5.75545062675999
45,1970,-5.661056681156
46,1970,-5.55514512870777
47,1970,-5.45367829658829
48,1970,-5.35777701414055
49,1970,-5.2542503228317
50,1970,-5.16113716496882
51,1970,-5.08944165818635
52,1970,-4.96776043575884
53,1970,-4.88953410756274
54,1970,-4.78266814369352
55,1970,-4.72219556686066
56,1970,-4.61146859942305
57,1970,-4.51982918969945
58,1970,-4.42059499340919
59,1970,-4.33531274142185
60,1970,-4.24571590215872
61,1970,-4.18727476019914
62,1970,-4.05651743418454
63,1970,-3.97803707951798
64,1970,-3.89622035581524
65,1970,-3.7880659413972
66,1970,-3.75657028776069
67,1970,-3.65418622642293
68,1970,-3.56083628742346
69,1970,-3.47034175243284
70,1970,-3.38572901499169
71,1970,-3.34241425845643
72,1970,-3.19823660071862
73,1970,-3.1114076430647
74,1970,-3.02285604167302
75,1970,-2.9284860797145
76,1970,-2.833575947516
77,1970,-2.75438102342025
78,1970,-2.64035782739808
79,1970,-2.55184749671143
80,1970,-2.48417845642884
